"Please find below estimates, which are subject to change, including as assets are recovered.",,,
,,,
Symbol,Stolen,Recovered at Bridge Relaunch,% Recovered at Relaunch
WBTC,"1,028.2907",280.73117399,27.3008%
WETH,"22,868.5953","1,049.63562980",4.5899%
USDC,"87,250,743.9820","12,890,538.932401",14.7741%
FRAX,"6,683,295.7269","2,644,469.91860909",39.5684%
USDT,"8,626,248.9749","4,673,863.595197",54.1819%
DAI,"4,533,681.0255","866,070.75687635",19.1030%
CQT,"113,403,891.4872","34,082,775.75159970",30.0543%
CARDS,"736,498.1347","165,005.81948028",22.4041%
IAG,"516,231,512.0111","349,507,392.18740200",67.7036%
C3,"7,221,941.6529","1,684,711.12239136",23.3277%
FXS,"106,595.1223","46,895.68804450",43.9942%
GERO,"58,808,241.5612","23,245,641.66618310",39.5279%
HBOT,"11,802,082.7239","900,239.99796600",7.6278%
SDL,"322,589.3248","9,790.82405700",3.0351%
